period,product_sku,company_variation_factor,product_seasonal_factor,product_variation_factor,unusual_event_factor,realization_factor,variation_type
2000-04,WIN-2436,1.0479,1.0200,0.9900,1.0000,1.0582,typical
2000-04,WIN-3648,1.0479,1.0100,1.0031,1.0000,1.0617,typical
2000-04,DOOR-3680,1.0479,1.0000,1.0047,1.0000,1.0529,typical
2000-05,WIN-2436,1.0702,1.0400,1.0055,1.0000,1.1191,typical
2000-05,WIN-3648,1.0702,1.0400,0.9987,1.0000,1.1115,typical
2000-05,DOOR-3680,1.0702,1.0100,0.9876,1.0000,1.0675,typical
2000-06,WIN-2436,0.9635,1.0500,0.9972,1.0000,1.0089,typical
2000-06,WIN-3648,0.9635,1.0600,0.9832,1.0000,1.0042,typical
2000-06,DOOR-3680,0.9635,1.0100,1.0185,1.0000,0.9911,typical
2000-07,WIN-2436,1.0116,1.0400,1.0154,1.0000,1.0683,typical
2000-07,WIN-3648,1.0116,1.0500,0.9930,1.0000,1.0547,typical
2000-07,DOOR-3680,1.0116,1.0000,0.9842,1.0000,0.9957,typical
2000-08,WIN-2436,1.0149,1.0200,1.0082,1.1800,1.2316,unusual
2000-08,WIN-3648,1.0149,1.0300,0.9921,1.1800,1.2237,unusual
2000-08,DOOR-3680,1.0149,1.0200,0.9889,1.1800,1.2081,unusual
2000-09,WIN-2436,0.9439,1.0000,1.0064,1.0000,0.9500,typical
2000-09,WIN-3648,0.9439,1.0100,0.9950,1.0000,0.9486,typical
2000-09,DOOR-3680,0.9439,1.0400,1.0152,1.0000,0.9966,typical
2000-10,WIN-2436,1.0200,0.9900,1.0128,1.1500,1.1762,unusual
2000-10,WIN-3648,1.0200,0.9900,1.0069,1.1500,1.1693,unusual
2000-10,DOOR-3680,1.0200,1.0500,0.9991,1.1500,1.2306,unusual
2000-11,WIN-2436,0.9721,0.9700,0.9850,1.0000,0.9288,typical
2000-11,WIN-3648,0.9721,0.9600,1.0115,1.0000,0.9440,typical
2000-11,DOOR-3680,0.9721,1.0200,1.0156,1.0000,1.0070,typical
2000-12,WIN-2436,1.0069,0.9500,1.0087,1.0000,0.9649,typical
2000-12,WIN-3648,1.0069,0.9400,1.0071,1.0000,0.9532,typical
2000-12,DOOR-3680,1.0069,0.9900,0.9974,1.0000,0.9943,typical
2001-01,WIN-2436,0.9754,0.9600,1.0190,1.0000,0.9542,typical
2001-01,WIN-3648,0.9754,0.9500,0.9972,1.0000,0.9240,typical
2001-01,DOOR-3680,0.9754,0.9800,0.9899,1.0000,0.9462,typical
2001-02,WIN-2436,1.0500,0.9700,0.9923,1.0000,1.0106,typical
2001-02,WIN-3648,1.0500,0.9600,1.0177,1.0000,1.0258,typical
2001-02,DOOR-3680,1.0500,0.9800,0.9970,1.0000,1.0258,typical
2001-03,WIN-2436,1.0548,0.9900,0.9920,1.0000,1.0359,typical
2001-03,WIN-3648,1.0548,0.9800,1.0175,1.0000,1.0517,typical
2001-03,DOOR-3680,1.0548,0.9900,1.0118,1.0000,1.0566,typical
2001-04,WIN-2436,0.9954,1.0200,0.9886,1.0000,1.0037,typical
2001-04,WIN-3648,0.9954,1.0100,0.9897,1.0000,0.9950,typical
2001-04,DOOR-3680,0.9954,1.0000,1.0190,1.0000,1.0144,typical
2001-05,WIN-2436,0.9406,1.0400,1.0002,1.0000,0.9784,typical
2001-05,WIN-3648,0.9406,1.0400,0.9870,1.0000,0.9655,typical
2001-05,DOOR-3680,0.9406,1.0100,1.0175,1.0000,0.9666,typical
2001-06,WIN-2436,1.0653,1.0500,0.9955,1.0000,1.1136,typical
2001-06,WIN-3648,1.0653,1.0600,1.0031,1.0000,1.1328,typical
2001-06,DOOR-3680,1.0653,1.0100,0.9816,1.0000,1.0562,typical
2001-07,WIN-2436,0.9570,1.0400,1.0038,1.0000,0.9991,typical
2001-07,WIN-3648,0.9570,1.0500,0.9950,1.0000,0.9999,typical
2001-07,DOOR-3680,0.9570,1.0000,1.0010,1.0000,0.9580,typical
2001-08,WIN-2436,0.9317,1.0200,0.9926,1.0000,0.9433,typical
2001-08,WIN-3648,0.9317,1.0300,0.9909,1.0000,0.9509,typical
2001-08,DOOR-3680,0.9317,1.0200,0.9898,1.0000,0.9407,typical
2001-09,WIN-2436,0.9237,1.0000,0.9945,1.0000,0.9186,typical
2001-09,WIN-3648,0.9237,1.0100,1.0010,1.0000,0.9339,typical
2001-09,DOOR-3680,0.9237,1.0400,1.0120,1.0000,0.9721,typical
2001-10,WIN-2436,0.9340,0.9900,1.0012,1.0000,0.9258,typical
2001-10,WIN-3648,0.9340,0.9900,1.0080,1.0000,0.9321,typical
2001-10,DOOR-3680,0.9340,1.0500,0.9939,1.0000,0.9747,typical
2001-11,WIN-2436,1.0457,0.9700,1.0121,1.0000,1.0266,typical
2001-11,WIN-3648,1.0457,0.9600,0.9897,1.0000,0.9935,typical
2001-11,DOOR-3680,1.0457,1.0200,0.9840,1.0000,1.0495,typical
2001-12,WIN-2436,0.9787,0.9500,1.0147,1.0000,0.9435,typical
2001-12,WIN-3648,0.9787,0.9400,0.9863,1.0000,0.9073,typical
2001-12,DOOR-3680,0.9787,0.9900,0.9969,1.0000,0.9659,typical
2002-01,WIN-2436,1.0370,0.9600,1.0073,1.0000,1.0028,typical
2002-01,WIN-3648,1.0370,0.9500,1.0191,1.0000,1.0040,typical
2002-01,DOOR-3680,1.0370,0.9800,0.9820,1.0000,0.9979,typical
2002-02,WIN-2436,1.0003,0.9700,0.9943,1.0000,0.9647,typical
2002-02,WIN-3648,1.0003,0.9600,1.0096,1.0000,0.9695,typical
2002-02,DOOR-3680,1.0003,0.9800,0.9804,1.0000,0.9610,typical
2002-03,WIN-2436,0.9188,0.9900,1.0134,1.0000,0.9218,typical
2002-03,WIN-3648,0.9188,0.9800,1.0019,1.0000,0.9022,typical
2002-03,DOOR-3680,0.9188,0.9900,1.0120,1.0000,0.9205,typical
2002-04,WIN-2436,1.0496,1.0200,0.9938,1.0000,1.0640,typical
2002-04,WIN-3648,1.0496,1.0100,0.9815,1.0000,1.0405,typical
2002-04,DOOR-3680,1.0496,1.0000,1.0013,1.0000,1.0510,typical
2002-05,WIN-2436,0.9854,1.0400,0.9989,1.0000,1.0236,typical
2002-05,WIN-3648,0.9854,1.0400,1.0108,1.0000,1.0358,typical
2002-05,DOOR-3680,0.9854,1.0100,0.9922,1.0000,0.9875,typical
2002-06,WIN-2436,0.9626,1.0500,1.0060,1.0000,1.0167,typical
2002-06,WIN-3648,0.9626,1.0600,1.0191,1.0000,1.0398,typical
2002-06,DOOR-3680,0.9626,1.0100,0.9840,1.0000,0.9567,typical
2002-07,WIN-2436,1.0777,1.0400,1.0085,1.0000,1.1303,typical
2002-07,WIN-3648,1.0777,1.0500,1.0014,1.0000,1.1331,typical
2002-07,DOOR-3680,1.0777,1.0000,0.9862,1.0000,1.0628,typical
2002-08,WIN-2436,1.0539,1.0200,0.9995,1.0000,1.0744,typical
2002-08,WIN-3648,1.0539,1.0300,0.9852,1.0000,1.0694,typical
2002-08,DOOR-3680,1.0539,1.0200,0.9827,1.0000,1.0564,typical
2002-09,WIN-2436,0.9241,1.0000,1.0063,1.0000,0.9299,typical
2002-09,WIN-3648,0.9241,1.0100,0.9908,1.0000,0.9248,typical
2002-09,DOOR-3680,0.9241,1.0400,0.9840,1.0000,0.9457,typical
2002-10,WIN-2436,0.9773,0.9900,1.0185,1.0000,0.9854,typical
2002-10,WIN-3648,0.9773,0.9900,0.9845,1.0000,0.9525,typical
2002-10,DOOR-3680,0.9773,1.0500,0.9848,1.0000,1.0106,typical
2002-11,WIN-2436,1.0008,0.9700,1.0071,1.0000,0.9777,typical
2002-11,WIN-3648,1.0008,0.9600,1.0099,1.0000,0.9703,typical
2002-11,DOOR-3680,1.0008,1.0200,1.0007,1.0000,1.0216,typical
2002-12,WIN-2436,0.9668,0.9500,0.9852,1.0000,0.9049,typical
2002-12,WIN-3648,0.9668,0.9400,1.0041,1.0000,0.9125,typical
2002-12,DOOR-3680,0.9668,0.9900,0.9874,1.0000,0.9451,typical
2003-01,WIN-2436,0.9906,0.9600,1.0138,1.0000,0.9642,typical
2003-01,WIN-3648,0.9906,0.9500,0.9862,1.0000,0.9281,typical
2003-01,DOOR-3680,0.9906,0.9800,1.0074,1.0000,0.9780,typical
2003-02,WIN-2436,1.0569,0.9700,0.9810,1.0000,1.0058,typical
2003-02,WIN-3648,1.0569,0.9600,0.9924,1.0000,1.0069,typical
2003-02,DOOR-3680,1.0569,0.9800,0.9926,1.0000,1.0281,typical
2003-03,WIN-2436,0.9638,0.9900,0.9917,1.0000,0.9462,typical
2003-03,WIN-3648,0.9638,0.9800,0.9859,1.0000,0.9312,typical
2003-03,DOOR-3680,0.9638,0.9900,0.9891,1.0000,0.9438,typical
2003-04,WIN-2436,0.9801,1.0200,1.0090,1.0000,1.0086,typical
2003-04,WIN-3648,0.9801,1.0100,1.0174,1.0000,1.0071,typical
2003-04,DOOR-3680,0.9801,1.0000,0.9850,1.0000,0.9653,typical
2003-05,WIN-2436,1.0327,1.0400,0.9864,1.0000,1.0593,typical
2003-05,WIN-3648,1.0327,1.0400,0.9903,1.0000,1.0635,typical
2003-05,DOOR-3680,1.0327,1.0100,0.9876,1.0000,1.0301,typical
2003-06,WIN-2436,1.0875,1.0500,1.0061,1.0000,1.1489,typical
2003-06,WIN-3648,1.0875,1.0600,1.0086,1.0000,1.1627,typical
2003-06,DOOR-3680,1.0875,1.0100,1.0149,1.0000,1.1148,typical
2003-07,WIN-2436,1.0139,1.0400,1.0045,1.0000,1.0592,typical
2003-07,WIN-3648,1.0139,1.0500,0.9911,1.0000,1.0552,typical
2003-07,DOOR-3680,1.0139,1.0000,0.9843,1.0000,0.9980,typical
2003-08,WIN-2436,1.0023,1.0200,1.0126,1.0000,1.0353,typical
2003-08,WIN-3648,1.0023,1.0300,0.9996,1.0000,1.0320,typical
2003-08,DOOR-3680,1.0023,1.0200,0.9988,1.0000,1.0212,typical
2003-09,WIN-2436,0.9740,1.0000,0.9946,1.0000,0.9687,typical
2003-09,WIN-3648,0.9740,1.0100,0.9824,1.0000,0.9664,typical
2003-09,DOOR-3680,0.9740,1.0400,1.0150,1.0000,1.0281,typical
2003-10,WIN-2436,0.9943,0.9900,1.0115,0.8500,0.8463,unusual
2003-10,WIN-3648,0.9943,0.9900,0.9808,0.8500,0.8207,unusual
2003-10,DOOR-3680,0.9943,1.0500,1.0102,0.8500,0.8965,unusual
2003-11,WIN-2436,0.9442,0.9700,0.9857,0.8500,0.7674,unusual
2003-11,WIN-3648,0.9442,0.9600,0.9845,0.8500,0.7585,unusual
2003-11,DOOR-3680,0.9442,1.0200,1.0073,0.8500,0.8246,unusual
2003-12,WIN-2436,1.0645,0.9500,1.0170,1.0000,1.0285,typical
2003-12,WIN-3648,1.0645,0.9400,1.0186,1.0000,1.0193,typical
2003-12,DOOR-3680,1.0645,0.9900,1.0096,1.0000,1.0640,typical
2004-01,WIN-2436,0.9514,0.9600,1.0156,1.0000,0.9276,typical
2004-01,WIN-3648,0.9514,0.9500,0.9940,1.0000,0.8984,typical
2004-01,DOOR-3680,0.9514,0.9800,0.9971,1.0000,0.9297,typical
2004-02,WIN-2436,1.0072,0.9700,0.9977,1.0000,0.9747,typical
2004-02,WIN-3648,1.0072,0.9600,0.9865,1.0000,0.9539,typical
2004-02,DOOR-3680,1.0072,0.9800,0.9954,1.0000,0.9826,typical
2004-03,WIN-2436,1.0150,0.9900,0.9989,1.0000,1.0037,typical
2004-03,WIN-3648,1.0150,0.9800,0.9823,1.0000,0.9770,typical
2004-03,DOOR-3680,1.0150,0.9900,0.9998,1.0000,1.0046,typical
2004-04,WIN-2436,0.9908,1.0200,0.9890,1.0000,0.9995,typical
2004-04,WIN-3648,0.9908,1.0100,0.9851,1.0000,0.9858,typical
2004-04,DOOR-3680,0.9908,1.0000,1.0077,1.0000,0.9984,typical
2004-05,WIN-2436,0.9878,1.0400,0.9860,1.0000,1.0129,typical
2004-05,WIN-3648,0.9878,1.0400,0.9840,1.0000,1.0109,typical
2004-05,DOOR-3680,0.9878,1.0100,1.0177,1.0000,1.0154,typical
2004-06,WIN-2436,0.9914,1.0500,0.9993,1.0000,1.0401,typical
2004-06,WIN-3648,0.9914,1.0600,0.9888,1.0000,1.0391,typical
2004-06,DOOR-3680,0.9914,1.0100,0.9887,1.0000,0.9899,typical
2004-07,WIN-2436,1.0028,1.0400,1.0027,1.0000,1.0457,typical
2004-07,WIN-3648,1.0028,1.0500,0.9820,1.0000,1.0340,typical
2004-07,DOOR-3680,1.0028,1.0000,0.9800,1.0000,0.9828,typical
2004-08,WIN-2436,0.9618,1.0200,0.9882,1.0000,0.9694,typical
2004-08,WIN-3648,0.9618,1.0300,0.9927,1.0000,0.9834,typical
2004-08,DOOR-3680,0.9618,1.0200,1.0110,1.0000,0.9918,typical
2004-09,WIN-2436,0.9255,1.0000,0.9914,1.0000,0.9175,typical
2004-09,WIN-3648,0.9255,1.0100,0.9982,1.0000,0.9330,typical
2004-09,DOOR-3680,0.9255,1.0400,0.9943,1.0000,0.9570,typical
2004-10,WIN-2436,0.9936,0.9900,0.9958,1.0000,0.9795,typical
2004-10,WIN-3648,0.9936,0.9900,1.0017,1.0000,0.9853,typical
2004-10,DOOR-3680,0.9936,1.0500,0.9869,1.0000,1.0296,typical
2004-11,WIN-2436,1.0541,0.9700,0.9829,1.0000,1.0050,typical
2004-11,WIN-3648,1.0541,0.9600,1.0145,1.0000,1.0266,typical
2004-11,DOOR-3680,1.0541,1.0200,0.9887,1.0000,1.0630,typical
2004-12,WIN-2436,0.9672,0.9500,1.0169,1.0000,0.9343,typical
