period,customer,customer_type,product_sku,product_name,gross_order_units,cancelled_units,demand_units,unit
2024-01,Building Houses Company,builder,WIN-2436,24 x 36 Vinyl Window,87,3,84,finished_units
2024-01,Building Houses Company,builder,WIN-3648,36 x 48 Vinyl Window,69,0,69,finished_units
2024-01,Building Houses Company,builder,DOOR-3680,36 x 80 Insulated Exterior Door,57,2,55,finished_units
2024-01,Building Supply Company,distributor,WIN-2436,24 x 36 Vinyl Window,61,0,61,finished_units
2024-01,Building Supply Company,distributor,WIN-3648,36 x 48 Vinyl Window,50,0,50,finished_units
2024-01,Building Supply Company,distributor,DOOR-3680,36 x 80 Insulated Exterior Door,37,0,37,finished_units
2024-01,Building Remodeler,remodeler,WIN-2436,24 x 36 Vinyl Window,21,0,21,finished_units
2024-01,Building Remodeler,remodeler,WIN-3648,36 x 48 Vinyl Window,0,0,0,finished_units
2024-01,Building Remodeler,remodeler,DOOR-3680,36 x 80 Insulated Exterior Door,17,0,17,finished_units
2024-02,Building Houses Company,builder,WIN-2436,24 x 36 Vinyl Window,93,0,93,finished_units
2024-02,Building Houses Company,builder,WIN-3648,36 x 48 Vinyl Window,73,0,73,finished_units
2024-02,Building Houses Company,builder,DOOR-3680,36 x 80 Insulated Exterior Door,54,0,54,finished_units
2024-02,Building Supply Company,distributor,WIN-2436,24 x 36 Vinyl Window,65,0,65,finished_units
2024-02,Building Supply Company,distributor,WIN-3648,36 x 48 Vinyl Window,54,2,52,finished_units
2024-02,Building Supply Company,distributor,DOOR-3680,36 x 80 Insulated Exterior Door,39,0,39,finished_units
2024-02,Building Remodeler,remodeler,WIN-2436,24 x 36 Vinyl Window,23,0,23,finished_units
2024-02,Building Remodeler,remodeler,WIN-3648,36 x 48 Vinyl Window,0,0,0,finished_units
2024-02,Building Remodeler,remodeler,DOOR-3680,36 x 80 Insulated Exterior Door,19,0,19,finished_units
2024-03,Building Houses Company,builder,WIN-2436,24 x 36 Vinyl Window,104,0,104,finished_units
2024-03,Building Houses Company,builder,WIN-3648,36 x 48 Vinyl Window,82,0,82,finished_units
2024-03,Building Houses Company,builder,DOOR-3680,36 x 80 Insulated Exterior Door,61,0,61,finished_units
2024-03,Building Supply Company,distributor,WIN-2436,24 x 36 Vinyl Window,73,0,73,finished_units
2024-03,Building Supply Company,distributor,WIN-3648,36 x 48 Vinyl Window,53,0,53,finished_units
2024-03,Building Supply Company,distributor,DOOR-3680,36 x 80 Insulated Exterior Door,45,0,45,finished_units
2024-03,Building Remodeler,remodeler,WIN-2436,24 x 36 Vinyl Window,26,1,25,finished_units
2024-03,Building Remodeler,remodeler,WIN-3648,36 x 48 Vinyl Window,15,0,15,finished_units
2024-03,Building Remodeler,remodeler,DOOR-3680,36 x 80 Insulated Exterior Door,22,1,21,finished_units
2024-04,Building Houses Company,builder,WIN-2436,24 x 36 Vinyl Window,114,0,114,finished_units
2024-04,Building Houses Company,builder,WIN-3648,36 x 48 Vinyl Window,90,3,87,finished_units
2024-04,Building Houses Company,builder,DOOR-3680,36 x 80 Insulated Exterior Door,68,0,68,finished_units
2024-04,Building Supply Company,distributor,WIN-2436,24 x 36 Vinyl Window,81,0,81,finished_units
2024-04,Building Supply Company,distributor,WIN-3648,36 x 48 Vinyl Window,59,0,59,finished_units
2024-04,Building Supply Company,distributor,DOOR-3680,36 x 80 Insulated Exterior Door,50,0,50,finished_units
2024-04,Building Remodeler,remodeler,WIN-2436,24 x 36 Vinyl Window,22,0,22,finished_units
2024-04,Building Remodeler,remodeler,WIN-3648,36 x 48 Vinyl Window,18,0,18,finished_units
2024-04,Building Remodeler,remodeler,DOOR-3680,36 x 80 Insulated Exterior Door,25,0,25,finished_units
2024-05,Building Houses Company,builder,WIN-2436,24 x 36 Vinyl Window,124,0,124,finished_units
2024-05,Building Houses Company,builder,WIN-3648,36 x 48 Vinyl Window,91,0,91,finished_units
2024-05,Building Houses Company,builder,DOOR-3680,36 x 80 Insulated Exterior Door,74,0,74,finished_units
2024-05,Building Supply Company,distributor,WIN-2436,24 x 36 Vinyl Window,88,3,85,finished_units
2024-05,Building Supply Company,distributor,WIN-3648,36 x 48 Vinyl Window,65,0,65,finished_units
2024-05,Building Supply Company,distributor,DOOR-3680,36 x 80 Insulated Exterior Door,55,2,53,finished_units
2024-05,Building Remodeler,remodeler,WIN-2436,24 x 36 Vinyl Window,25,0,25,finished_units
2024-05,Building Remodeler,remodeler,WIN-3648,36 x 48 Vinyl Window,20,0,20,finished_units
2024-05,Building Remodeler,remodeler,DOOR-3680,36 x 80 Insulated Exterior Door,21,0,21,finished_units
2024-06,Building Houses Company,builder,WIN-2436,24 x 36 Vinyl Window,132,0,132,finished_units
2024-06,Building Houses Company,builder,WIN-3648,36 x 48 Vinyl Window,97,0,97,finished_units
2024-06,Building Houses Company,builder,DOOR-3680,36 x 80 Insulated Exterior Door,79,0,79,finished_units
2024-06,Building Supply Company,distributor,WIN-2436,24 x 36 Vinyl Window,87,0,87,finished_units
2024-06,Building Supply Company,distributor,WIN-3648,36 x 48 Vinyl Window,70,0,70,finished_units
2024-06,Building Supply Company,distributor,DOOR-3680,36 x 80 Insulated Exterior Door,58,0,58,finished_units
2024-06,Building Remodeler,remodeler,WIN-2436,24 x 36 Vinyl Window,27,0,27,finished_units
