supplier_id,component_sku,delivery_id,promised_lead_months,actual_lead_months,ordered_quantity,received_quantity
CLEARVIEW,GLASS-SQFT,CG-01,2,2,5000,5000
CLEARVIEW,GLASS-SQFT,CG-02,2,3,6000,6000
CLEARVIEW,GLASS-SQFT,CG-03,2,2,5500,5200
CLEARVIEW,GLASS-SQFT,CG-04,2,2,7000,7000
CLEARVIEW,GLASS-SQFT,CG-05,2,4,6500,6100
CLEARVIEW,GLASS-SQFT,CG-06,2,2,6000,6000
VINYLWORKS,VINYL-LNFT,VW-01,1,1,7000,7000
VINYLWORKS,VINYL-LNFT,VW-02,1,1,8000,8000
VINYLWORKS,VINYL-LNFT,VW-03,1,2,7500,7500
VINYLWORKS,VINYL-LNFT,VW-04,1,1,9000,8700
VINYLWORKS,VINYL-LNFT,VW-05,1,1,8500,8500
VINYLWORKS,VINYL-LNFT,VW-06,1,2,8000,7800
RELIABLE_HARDWARE,WINDOW-HARDWARE-KIT,RH-01,1,1,700,700
RELIABLE_HARDWARE,WINDOW-HARDWARE-KIT,RH-02,1,1,800,800
RELIABLE_HARDWARE,WINDOW-HARDWARE-KIT,RH-03,1,1,750,750
RELIABLE_HARDWARE,WINDOW-HARDWARE-KIT,RH-04,1,2,900,900
RELIABLE_HARDWARE,WINDOW-HARDWARE-KIT,RH-05,1,1,850,830
RELIABLE_HARDWARE,WINDOW-HARDWARE-KIT,RH-06,1,1,800,800
SOLIDCORE,DOOR-SLAB,SC-01,2,2,120,120
SOLIDCORE,DOOR-SLAB,SC-02,2,3,140,140
SOLIDCORE,DOOR-SLAB,SC-03,2,2,130,125
SOLIDCORE,DOOR-SLAB,SC-04,2,2,150,150
SOLIDCORE,DOOR-SLAB,SC-05,2,4,140,130
SOLIDCORE,DOOR-SLAB,SC-06,2,2,160,160
FRAMESOURCE,DOOR-FRAME-KIT,FS-01,1,1,120,120
FRAMESOURCE,DOOR-FRAME-KIT,FS-02,1,1,140,140
FRAMESOURCE,DOOR-FRAME-KIT,FS-03,1,2,130,130
FRAMESOURCE,DOOR-FRAME-KIT,FS-04,1,1,150,145
FRAMESOURCE,DOOR-FRAME-KIT,FS-05,1,1,140,140
FRAMESOURCE,DOOR-FRAME-KIT,FS-06,1,1,160,160
ENTRY_HARDWARE,DOOR-HARDWARE-KIT,EH-01,1,1,120,120
ENTRY_HARDWARE,DOOR-HARDWARE-KIT,EH-02,1,2,140,140
ENTRY_HARDWARE,DOOR-HARDWARE-KIT,EH-03,1,1,130,130
ENTRY_HARDWARE,DOOR-HARDWARE-KIT,EH-04,1,1,150,150
ENTRY_HARDWARE,DOOR-HARDWARE-KIT,EH-05,1,2,140,135
ENTRY_HARDWARE,DOOR-HARDWARE-KIT,EH-06,1,1,160,160
